case_index,case_id,depth,truth_valid,first_nonfinite_time,one_grid_displacement_onset_time,final_displacement_grid_points,max_abs_displacement_grid_points,final_eta_raw_relative_error,final_eta_aligned_relative_error,final_eta_translation_relative_error,final_eta_signed_squared_error_removed,final_q_raw_relative_error,final_q_aligned_relative_error,final_q_translation_relative_error,final_q_signed_squared_error_removed,final_xi_raw_relative_error,final_xi_aligned_relative_error,final_xi_translation_relative_error,final_xi_signed_squared_error_removed,alignment_velocity_correlation_n,alignment_velocity_pearson,alignment_velocity_spearman,final_observed_displacement_drift,final_integrated_identity_velocity,final_integrated_direct_velocity,final_integrated_geometry_velocity,final_velocity_integration_residual,final_velocity_integration_residual_grid_points,max_abs_alignment_stationarity_correction_grid_points,min_abs_velocity_denominator_over_tangent_energy,eta_raw_gt_0p25_onset_time,eta_shape_gt_0p25_onset_time,eta_translation_gt_0p25_onset_time,eta_raw_gt_0p25_translation_dominated_at_onset,one_grid_lead_to_eta_raw_gt_0p25,eta_raw_gt_0p5_onset_time,eta_shape_gt_0p5_onset_time,eta_translation_gt_0p5_onset_time,eta_raw_gt_0p5_translation_dominated_at_onset,one_grid_lead_to_eta_raw_gt_0p5,eta_raw_gt_0p75_onset_time,eta_shape_gt_0p75_onset_time,eta_translation_gt_0p75_onset_time,eta_raw_gt_0p75_translation_dominated_at_onset,one_grid_lead_to_eta_raw_gt_0p75,eta_raw_gt_1_onset_time,eta_shape_gt_1_onset_time,eta_translation_gt_1_onset_time,eta_raw_gt_1_translation_dominated_at_onset,one_grid_lead_to_eta_raw_gt_1
20,1000020,0.04659133031964302,True,,,-0.2359563903564992,0.2359563903564992,0.011868672339017653,0.010786105776868997,0.004952303025982558,0.17410455800428254,0.019545560966988805,0.01570752887978929,0.011631959852271749,0.35416815600026397,0.012034082887952312,0.011310868500626792,0.004108942043353169,0.11658267987626637,251,0.3096421427857653,-0.027118193891102253,-0.0014478102783428582,-0.0013821093883997207,-0.02994526322286088,0.028563153834461136,6.570088994313755e-05,0.010707580313586621,1.832007945463352e-08,0.9900354121589957,,,,,,,,,,,,,,,,,,,,
21,1000021,0.057592183351516724,True,,133.60000610351562,-2.1803678473269374,2.1803678473269374,0.07952983738039698,0.005791035097823383,0.07931871750254266,0.9946978476148578,0.15355802030293084,0.010771368821815614,0.1531797741644103,0.995079641071959,0.029289825556427732,0.0024099007475268126,0.029190516602366542,0.9932303729625535,251,0.9934347377824431,0.9913337127679757,-0.01337856955329238,-0.013381893411574771,-0.2829255743810712,0.2695436809694962,-3.3238582823908597e-06,-0.0005417046791981488,1.7773775575189213e-08,0.9999999999999999,,,,,,,,,,,,,,,,,,,,
22,1000022,0.012947448529303074,True,,,-0.8447012429948701,0.8447012429948701,0.10597797409726671,0.024729271051964707,0.10305238545031065,0.9455508125349301,0.19931614311393936,0.043709521286381135,0.19446439945329774,0.9519086298369677,0.04215099309727544,0.03086636343518974,0.028704944301868002,0.46376481295650807,251,0.9901660108697633,0.9886564219313223,-0.005183021913029005,-0.005130560621256009,-0.2900529582383041,0.28492239761704824,5.246129177299656e-05,0.00854986128041839,1.053948004451059e-08,0.9999999999999999,,,,,,,,,,,,,,,,,,,,
23,1000023,0.037132374942302704,True,,,0.14154331541221066,0.14154331541221066,0.006004087134135401,0.002197220489929637,0.005587600955054291,0.8660775739663872,0.010987475497533306,0.0027479907559735473,0.010638287673022323,0.9374489368285274,0.00407558754358722,0.003130673830671334,0.0026094626250232032,0.40994133336778893,251,0.7929980049711041,0.5627167520394611,0.0008684989059838749,0.0008708700756532297,-0.06612829657472512,0.06699916665037833,2.3711696693547732e-06,0.0003864405747582845,8.269652314822472e-09,1.0,,,,,,,,,,,,,,,,,,,,
24,1000024,0.01549047976732254,True,,71.19999694824219,-15.597996307966724,15.597996307966724,1.141915937746801,0.5806727594488916,0.9832553866184336,0.7414201752263382,1.4778527275745748,0.5426375345492788,1.3746247453388472,0.8651790612521695,0.29553231442306666,0.19314795625212886,0.2236810583484441,0.572859959596812,251,0.9993818773956973,0.9975784481123124,-0.09570810666372848,-0.09577595939892396,0.6286911914656013,-0.7244671508645252,-6.785273519548107e-05,-0.011058276565674223,8.226750170676584e-08,0.8838212875317771,81.5999984741211,108.80000305175781,85.5999984741211,False,10.400001525878906,106.4000015258789,168.8000030517578,112.80000305175781,False,35.20000457763672,132.0,,144.8000030517578,False,60.80000305175781,166.39999389648438,,,False,95.19999694824219
25,1000025,0.010818541049957275,True,,,-0.10581670145610277,0.18705917452469917,0.022449439907654162,0.012293395829452469,0.01878429586510434,0.7001302134517177,0.04363259473594675,0.026230371686131633,0.03486790679978872,0.6386011147585459,0.013561110140684058,0.013487752890438914,0.0014086270671191483,0.010789506275465864,251,0.9319241512234859,0.9419647125782584,-0.0006492831482843688,-0.0006591539720069245,-0.29226796956214435,0.29160881559013746,-9.8708237225557e-06,-0.0016086941571414864,4.682512240858665e-09,1.0,,,,,,,,,,,,,,,,,,,,
26,1000026,0.03519833832979202,True,,157.60000610351562,1.7895070220301044,1.7895070220301044,0.10990634227432527,0.006310207591227795,0.10972504432569966,0.996703585739276,0.21316566437765153,0.009375104030217919,0.21295940433328642,0.9980657273684378,0.03215285816957712,0.008241176980115643,0.03107875947420287,0.9343039418749235,251,0.9987417432841587,0.9986143046860178,0.010980277566322508,0.011018012837209743,0.18894956875321758,-0.17793155591600787,3.7735270887235065e-05,0.006149893007989915,8.695894806294957e-09,0.9918290723288292,,,,,,,,,,,,,,,,,,,,
27,1000027,0.013703261502087116,True,,,-0.22115462252630091,0.24239188873258308,0.023754704802065003,0.007008232305125249,0.02269737165820415,0.9129602364363121,0.04932126872589657,0.010605411931019782,0.048167549102123584,0.9537633240434695,0.011069162080872176,0.010136950548154921,0.004446187440592228,0.16134148197812992,251,-0.2661293954570022,0.13573743122747106,-0.0013569877684297866,-0.0016564958722072433,0.07094281058678575,-0.07259930645899305,-0.00029950810377745666,-0.0488122318973569,4.684103722685961e-09,0.9993412914292132,,,,,,,,,,,,,,,,,,,,
28,1000028,0.019846279174089432,True,,,-0.04311096708688994,0.13510527104712639,0.008959491404999987,0.00806270150774636,0.003907087231334002,0.1901689028083951,0.013140255939903896,0.01048963555250558,0.007914156439052149,0.3627451485908707,0.014129247075264268,0.014290710152324738,0.0,-0.02298574611542844,251,0.9543165293100765,0.868789982925441,-0.0002645255810338375,-0.00029190390169110653,0.10040492362571225,-0.1006968275274034,-2.7378320657269015e-05,-0.0044619725477471365,5.899433560901111e-09,0.9917247264912724,,,,,,,,,,,,,,,,,,,,
29,1000029,0.01194613054394722,True,,79.19999694824219,-4.18892086915409,4.18892086915409,0.6926070621203521,0.020508491034316366,0.6923033614640915,0.9991232140468932,1.2131789879331196,0.039608174132072266,1.2125322467070112,0.9989340915975907,0.12142605649146966,0.02797855059024052,0.11815874026892356,0.946908298599039,251,0.9593340468133951,0.9604393853158792,-0.02570289654102238,-0.02567515351798221,-0.032606375367361266,0.0069312218493791135,2.7743023040170678e-05,0.004521409795231237,1.0914906772062741e-08,0.9903736820136851,100.80000305175781,,100.80000305175781,True,21.600006103515625,160.0,,160.0,True,80.80000305175781,,,,,,,,,,
