frame,time,predictor,target,n,pearson,spearman
150,120.0,eta_aligned,terminal_eta_raw,32,0.8172028497718405,0.6825513196480938
150,120.0,eta_aligned,terminal_eta_shape,32,0.9938877420015807,0.9530791788856304
150,120.0,eta_aligned,terminal_eta_translation,32,0.7603840918449624,0.5736803519061583
150,120.0,eta_translation,terminal_eta_raw,32,0.9918765228080488,0.8885630498533723
150,120.0,eta_translation,terminal_eta_shape,32,0.8041076545319487,0.6579912023460409
150,120.0,eta_translation,terminal_eta_translation,32,0.9883790751901741,0.8522727272727272
150,120.0,q_raw,terminal_eta_raw,32,0.9911193419538598,0.8720674486803517
150,120.0,q_raw,terminal_eta_shape,32,0.8454970128011736,0.7631964809384163
150,120.0,q_raw,terminal_eta_translation,32,0.9798368839179075,0.811217008797654
150,120.0,q_aligned,terminal_eta_raw,32,0.8102193162282536,0.5744134897360703
150,120.0,q_aligned,terminal_eta_shape,32,0.993450807116025,0.9167888563049852
150,120.0,q_aligned,terminal_eta_translation,32,0.7497727440471714,0.4655425219941349
150,120.0,q_translation,terminal_eta_raw,32,0.9914908376406488,0.8654692082111435
150,120.0,q_translation,terminal_eta_shape,32,0.8199086211580973,0.6352639296187682
150,120.0,q_translation,terminal_eta_translation,32,0.9854233844002258,0.8302785923753665
150,120.0,xi_raw,terminal_eta_raw,32,0.9790050178753157,0.7236070381231671
150,120.0,xi_raw,terminal_eta_shape,32,0.8339118996115376,0.7155425219941348
150,120.0,xi_raw,terminal_eta_translation,32,0.9692139512289915,0.6810850439882697
150,120.0,xi_aligned,terminal_eta_raw,32,0.8664955886128677,0.6000733137829912
150,120.0,xi_aligned,terminal_eta_shape,32,0.9317856562164029,0.7562316715542522
150,120.0,xi_aligned,terminal_eta_translation,32,0.8276862421038378,0.5362903225806451
150,120.0,xi_translation,terminal_eta_raw,32,0.9828301030017437,0.7579506951455713
150,120.0,xi_translation,terminal_eta_shape,32,0.761045230607752,0.5356062711524449
150,120.0,xi_translation,terminal_eta_translation,32,0.9851517875155125,0.7515351511721504
150,120.0,abs_alignment_velocity_identity,terminal_eta_raw,32,0.17548382248821953,0.28665689149560114
150,120.0,abs_alignment_velocity_identity,terminal_eta_shape,32,0.2663627619621675,0.439149560117302
150,120.0,abs_alignment_velocity_identity,terminal_eta_translation,32,0.1587039816404615,0.22653958944281521
150,120.0,abs_alignment_velocity_direct,terminal_eta_raw,32,0.11062246008397815,0.12756598240469205
150,120.0,abs_alignment_velocity_direct,terminal_eta_shape,32,0.1949739357725938,0.1312316715542522
150,120.0,abs_alignment_velocity_direct,terminal_eta_translation,32,0.0935694534250931,0.16055718475073313
150,120.0,abs_alignment_velocity_geometry,terminal_eta_raw,32,0.1779397757585068,0.0909090909090909
150,120.0,abs_alignment_velocity_geometry,terminal_eta_shape,32,0.28828692456436306,0.1279325513196481
150,120.0,abs_alignment_velocity_geometry,terminal_eta_translation,32,0.15440733849627922,0.09054252199413489
